Nr. SISF,Rangstufe,Taxonname,Gattung,Spezies,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF
373150,sp,Saxifraga giziana P. A. Genty & Bouchard,Saxifraga,giziana,Saxifragaceae,,x,,
373200,subsp,Saxifraga exarata subsp. moschata (Wulfen) Cavill.,Saxifraga,exarata,Saxifragaceae,I,,Saxifraga exarata Vill.,373050
373300,subsp,Saxifraga exarata subsp. pseudoexarata (Braun-Blanq.) D. A. Webb,Saxifraga,exarata,Saxifragaceae,I,,Saxifraga exarata Vill.,373050
373400,sp,Saxifraga granulata L.,Saxifraga,granulata,Saxifragaceae,I,,,
373600,sp,Saxifraga hirculus L.,Saxifraga,hirculus,Saxifragaceae,I,,,
373700,sp,Saxifraga hirsuta L.,Saxifraga,hirsuta,Saxifragaceae,N,,,
373795,sp,Saxifraga hostii Tausch,Saxifraga,hostii,Saxifragaceae,I,,,
373900,subsp (single),Saxifraga hostii subsp. rhaetica (A. Kern.) Braun-Blanq.,Saxifraga,hostii,Saxifragaceae,I,,Saxifraga hostii Tausch,373795
374000,sp,Saxifraga hypnoides L.,Saxifraga,hypnoides,Saxifragaceae,NC,,,
374300,sp,Saxifraga muscoides All.,Saxifraga,muscoides,Saxifragaceae,I,,,
374400,sp,Saxifraga mutata L.,Saxifraga,mutata,Saxifragaceae,I,,,
374450,sp,Saxifraga oppositifolia L.,Saxifraga,oppositifolia,Saxifragaceae,I,,,
374500,subsp,Saxifraga oppositifolia L. subsp. oppositifolia,Saxifraga,oppositifolia,Saxifragaceae,I,,Saxifraga oppositifolia L.,374450
374550,subsp,Saxifraga oppositifolia subsp. amphibia (Sünd.) Braun-Blanq.,Saxifraga,oppositifolia,Saxifragaceae,I,,Saxifraga oppositifolia L.,374450
374600,sp,Saxifraga paniculata Mill.,Saxifraga,paniculata,Saxifragaceae,I,,,
374700,sp,Saxifraga petraea L.,Saxifraga,petraea,Saxifragaceae,,x,,
374800,sp,Saxifraga presolanensis Engl.,Saxifraga,presolanensis,Saxifragaceae,,x,,
374995,sp,Saxifraga retusa Gouan,Saxifraga,retusa,Saxifragaceae,I,,,
375000,subsp,Saxifraga retusa Gouan subsp. retusa,Saxifraga,retusa,Saxifragaceae,I,,Saxifraga retusa Gouan,374995
375100,subsp,Saxifraga retusa subsp. augustana (Vacc.) P. Fourn.,Saxifraga,retusa,Saxifragaceae,,x,Saxifraga retusa Gouan,374995
375150,sp,Saxifraga rosacea Moench,Saxifraga,rosacea,Saxifragaceae,,x,,
375200,subsp,Saxifraga rosacea Moench subsp. rosacea,Saxifraga,rosacea,Saxifragaceae,,x,Saxifraga rosacea Moench,375150
375300,subsp,Saxifraga rosacea subsp. sponhemica (C. C. Gmel.) D. A. Webb,Saxifraga,rosacea,Saxifragaceae,,x,Saxifraga rosacea Moench,375150
375400,sp,Saxifraga rotundifolia L.,Saxifraga,rotundifolia,Saxifragaceae,I,,,
375600,sp,Saxifraga sedoides L.,Saxifraga,sedoides,Saxifragaceae,,x,,
375700,sp,Saxifraga seguieri Spreng.,Saxifraga,seguieri,Saxifragaceae,I,,,
375800,sp,Saxifraga stellaris L.,Saxifraga,stellaris,Saxifragaceae,I,,,
375900,sp,Saxifraga stolonifera Meerb.,Saxifraga,stolonifera,Saxifragaceae,N,,,
376000,sp,Saxifraga tridactylites L.,Saxifraga,tridactylites,Saxifragaceae,I,,,
376100,sp,Saxifraga umbrosa L.,Saxifraga,umbrosa,Saxifragaceae,N,,,
376200,sp,Saxifraga valdensis DC.,Saxifraga,valdensis,Saxifragaceae,,x,,
376300,sp,Saxifraga vandellii Sternb.,Saxifraga,vandellii,Saxifragaceae,,x,,
376350,hybrid,Saxifraga ×kochii Hornung,Saxifraga,×kochii,Saxifragaceae,I,,Saxifraga biflora aggr.,372250
376400,sp,Scabiosa canescens Waldst. & Kit.,Scabiosa,canescens,Caprifoliaceae,,x,,
376500,sp,Scabiosa columbaria L.,Scabiosa,columbaria,Caprifoliaceae,I,,,
376600,subsp,Scabiosa columbaria L. subsp. columbaria,Scabiosa,columbaria,Caprifoliaceae,I,,Scabiosa columbaria L.,376500
376710,subsp,Scabiosa columbaria subsp. portae (Huter) Hayek,Scabiosa,columbaria,Caprifoliaceae,I,,Scabiosa columbaria L.,376500
377100,sp,Scabiosa lucida Vill.,Scabiosa,lucida,Caprifoliaceae,I,,,
377150,subsp (single),Scabiosa lucida Vill. subsp. lucida,Scabiosa,lucida,Caprifoliaceae,I,,Scabiosa lucida Vill.,377100
377200,sp,Scabiosa ochroleuca L.,Scabiosa,ochroleuca,Caprifoliaceae,N,,,
377500,sp,Scabiosa triandra L.,Scabiosa,triandra,Caprifoliaceae,I,,,
377600,sp,Scabiosa velenovskyana Bobrov,Scabiosa,velenovskyana,Caprifoliaceae,,x,,
377700,sp,Scabiosa vestina W. D. J. Koch,Scabiosa,vestina,Caprifoliaceae,,x,,
377900,sp,Scandix pecten-veneris L.,Scandix,pecten-veneris,Apiaceae,A,,,
377930,subsp,Scandix pecten-veneris L. subsp. pecten-veneris,Scandix,pecten-veneris,Apiaceae,I,,Scandix pecten-veneris L.,377900
377960,subsp,Scandix pecten-veneris subsp. hispanica (Boiss.) Bonnier & Layens,Scandix,pecten-veneris,Apiaceae,,x,Scandix pecten-veneris L.,377900
378000,sp,Scheuchzeria palustris L.,Scheuchzeria,palustris,Scheuchzeriaceae,I,,,
378200,sp,Schoenoplectus lacustris (L.) Palla,Schoenoplectus,lacustris,Cyperaceae,I,,,
378300,sp,Schoenoplectus mucronatus (L.) Palla,Schoenoplectus,mucronatus,Cyperaceae,I,,,
378400,sp,Schoenoplectus pungens (Vahl) Palla,Schoenoplectus,pungens,Cyperaceae,I,,,
378600,sp,Schoenoplectus supinus (L.) Palla,Schoenoplectus,supinus,Cyperaceae,A,,,
378700,sp,Schoenoplectus tabernaemontani (C. C. Gmel.) Palla,Schoenoplectus,tabernaemontani,Cyperaceae,I,,,
378800,sp,Schoenoplectus triqueter (L.) Palla,Schoenoplectus,triqueter,Cyperaceae,I,,,
378900,hybrid,Schoenoplectus ×carinatus (Sm.) Palla,Schoenoplectus,×carinatus,Cyperaceae,I,,,
379000,sp,Schoenus ferrugineus L.,Schoenus,ferrugineus,Cyperaceae,I,,,
379100,sp,Schoenus nigricans L.,Schoenus,nigricans,Cyperaceae,I,,,
379200,sp,Scilla autumnalis L.,Scilla,autumnalis,Asparagaceae,,x,,
379300,sp,Scilla bifolia L.,Scilla,bifolia,Asparagaceae,I,,,
379330,sp,Scilla forbesii (Baker) Speta,Scilla,forbesii,Asparagaceae,N,,,
379360,sp,Scilla luciliae (Boiss.) Speta,Scilla,luciliae,Asparagaceae,N,,,
379550,sp,Scilla siberica Haw.,Scilla,siberica,Asparagaceae,N,,,
379560,sp,Scirpoides holoschoenus (L.) Soják,Scirpoides,holoschoenus,Cyperaceae,I,,,
379565,subsp,Scirpoides holoschoenus (L.) Soják subsp. holoschoenus,Scirpoides,holoschoenus,Cyperaceae,I,,Scirpoides holoschoenus (L.) Soják,379560
379570,subsp,Scirpoides holoschoenus subsp. australis (L.) Soják,Scirpoides,holoschoenus,Cyperaceae,I,,Scirpoides holoschoenus (L.) Soják,379560
379580,sp,Scirpus atrovirens Willd.,Scirpus,atrovirens,Cyperaceae,N,,,
379590,sp,Scirpus hattorianus Makino,Scirpus,hattorianus,Cyperaceae,N,,,
379650,sp,Scirpus pendulus Muhl.,Scirpus,pendulus,Cyperaceae,N,,,
379700,sp,Scirpus sylvaticus L.,Scirpus,sylvaticus,Cyperaceae,I,,,
379795,sp,Scleranthus annuus L.,Scleranthus,annuus,Caryophyllaceae,I,,,
379800,subsp,Scleranthus annuus L. subsp. annuus,Scleranthus,annuus,Caryophyllaceae,I,,Scleranthus annuus L.,379795
379900,subsp,Scleranthus annuus subsp. polycarpos (L.) Bonnier & Layens,Scleranthus,annuus,Caryophyllaceae,I,,Scleranthus annuus L.,379795
380000,subsp,Scleranthus annuus subsp. verticillatus (Tausch) Arcang.,Scleranthus,annuus,Caryophyllaceae,I,,Scleranthus annuus L.,379795
380200,sp,Scleranthus perennis L.,Scleranthus,perennis,Caryophyllaceae,I,,,
380500,sp,Sclerochloa dura (L.) P. Beauv.,Sclerochloa,dura,Poaceae,I,,,
380900,sp,Scorzonera aristata DC.,Scorzonera,aristata,Asteraceae,,x,,
381000,sp,Scorzonera austriaca Willd.,Scorzonera,austriaca,Asteraceae,I,,,
381100,sp,Scorzonera hispanica L.,Scorzonera,hispanica,Asteraceae,NC,,,
381200,sp,Scorzonera humilis L.,Scorzonera,humilis,Asteraceae,I,,,
381250,sp,Scorzonera laciniata L.,Scorzonera,laciniata,Asteraceae,I,,,
381300,subsp,Scorzonera laciniata L. subsp. laciniata,Scorzonera,laciniata,Asteraceae,I,,Scorzonera laciniata L.,381250
381400,subsp,Scorzonera laciniata subsp. calcitrapifolia (Vahl) Maire,Scorzonera,laciniata,Asteraceae,,x,Scorzonera laciniata L.,381250
381500,sp,Scorzonera rosea Waldst. & Kit.,Scorzonera,rosea,Asteraceae,,x,,
381800,sp,Scrophularia auriculata L.,Scrophularia,auriculata,Scrophulariaceae,I,,,
381900,sp,Scrophularia canina L.,Scrophularia,canina,Scrophulariaceae,I,,,
382000,sp,Scrophularia juratensis Schleich.,Scrophularia,juratensis,Scrophulariaceae,I,,,
382100,sp,Scrophularia nodosa L.,Scrophularia,nodosa,Scrophulariaceae,I,,,
382200,sp,Scrophularia umbrosa Dumort.,Scrophularia,umbrosa,Scrophulariaceae,I,,,
382300,sp,Scrophularia vernalis L.,Scrophularia,vernalis,Scrophulariaceae,N,,,
382400,sp,Scutellaria alpina L.,Scutellaria,alpina,Lamiaceae,I,,,
382500,sp,Scutellaria altissima L.,Scutellaria,altissima,Lamiaceae,N,,,
382600,sp,Scutellaria galericulata L.,Scutellaria,galericulata,Lamiaceae,I,,,
382800,sp,Scutellaria minor Huds.,Scutellaria,minor,Lamiaceae,,x,,
382900,sp,Secale cereale L.,Secale,cereale,Poaceae,AC,,,
383000,sp,Securigera varia (L.) Lassen,Securigera,varia,Fabaceae,I,,,
383100,sp,Sedum acre L.,Sedum,acre,Crassulaceae,I,,,
383200,sp,Sedum album L.,Sedum,album,Crassulaceae,I,,,
383300,sp,Sedum alpestre Vill.,Sedum,alpestre,Crassulaceae,I,,,
383400,sp,Sedum anacampseros L.,Sedum,anacampseros,Crassulaceae,I,,,
383500,sp,Sedum annuum L.,Sedum,annuum,Crassulaceae,I,,,
383600,sp,Sedum anopetalum DC.,Sedum,anopetalum,Crassulaceae,N,,Sedum rupestre aggr.,385210
383700,sp,Sedum atratum L.,Sedum,atratum,Crassulaceae,I,,,
383730,subsp (single),Sedum atratum L. subsp. atratum,Sedum,atratum,Crassulaceae,I,,Sedum atratum L.,383700
383800,sp,Sedum cepaea L.,Sedum,cepaea,Crassulaceae,I,,,
383900,sp,Sedum dasyphyllum L.,Sedum,dasyphyllum,Crassulaceae,I,,,
384100,sp,Sedum forsterianum Sm.,Sedum,forsterianum,Crassulaceae,,x,,
384200,sp,Sedum hirsutum All.,Sedum,hirsutum,Crassulaceae,,x,,
384300,sp,Sedum hispanicum L.,Sedum,hispanicum,Crassulaceae,I,,,
384350,sp,Sedum hybridum L.,Sedum,hybridum,Crassulaceae,N,,,
384500,sp,Sedum montanum Songeon & E. P. Perrier,Sedum,montanum,Crassulaceae,I,,Sedum rupestre aggr.,385210
384530,subsp,Sedum montanum Songeon & E. P. Perrier subsp. montanum,Sedum,montanum,Crassulaceae,I,,Sedum montanum Songeon & E. P. Perrier,384500
384560,subsp,Sedum montanum subsp. orientale 't Hart,Sedum,montanum,Crassulaceae,,x,Sedum montanum Songeon & E. P. Perrier,384500
385100,sp,Sedum rubens L.,Sedum,rubens,Crassulaceae,A,,,
385200,sp,Sedum rupestre L.,Sedum,rupestre,Crassulaceae,I,,Sedum rupestre aggr.,385210
385210,aggr,Sedum rupestre aggr.,Sedum,rupestre,Crassulaceae,I/N,,,
385300,sp,Sedum sarmentosum Bunge,Sedum,sarmentosum,Crassulaceae,N,,,
385400,sp,Sedum sediforme (Jacq.) Pau,Sedum,sediforme,Crassulaceae,N,,Sedum rupestre aggr.,385210
385500,sp,Sedum sexangulare L.,Sedum,sexangulare,Crassulaceae,I,,,
385600,sp,Sedum spurium M. Bieb.,Sedum,spurium,Crassulaceae,N,,,
385650,sp,Sedum stoloniferum S. G. Gmel.,Sedum,stoloniferum,Crassulaceae,N,,,
385695,sp,Sedum telephium L.,Sedum,telephium,Crassulaceae,I,,,
385700,subsp,Sedum telephium L. subsp. telephium,Sedum,telephium,Crassulaceae,I,,Sedum telephium L.,385695
385800,subsp,Sedum telephium subsp. fabaria Kirschl.,Sedum,telephium,Crassulaceae,I,,Sedum telephium L.,385695
385900,subsp,Sedum telephium subsp. maximum (L.) Kirschl.,Sedum,telephium,Crassulaceae,I,,Sedum telephium L.,385695
386000,sp,Sedum villosum L.,Sedum,villosum,Crassulaceae,I,,,
386200,sp,Selaginella helvetica (L.) Link,Selaginella,helvetica,Selaginellaceae,I,,,
386300,sp,Selaginella selaginoides (L.) Schrank & Mart.,Selaginella,selaginoides,Selaginellaceae,I,,,
386400,sp,Selinum carvifolia (L.) L.,Selinum,carvifolia,Apiaceae,I,,,
386700,sp,Sempervivum arachnoideum L.,Sempervivum,arachnoideum,Crassulaceae,I,,,
386730,subsp,Sempervivum arachnoideum L. subsp. arachnoideum,Sempervivum,arachnoideum,Crassulaceae,I,,Sempervivum arachnoideum L.,386700
386760,subsp,Sempervivum arachnoideum subsp. tomentosum (C. B. Lehm. & Schnittsp.) Schinz & Thell.,Sempervivum,arachnoideum,Crassulaceae,I,,Sempervivum arachnoideum L.,386700
386900,sp,Sempervivum grandiflorum Haw.,Sempervivum,grandiflorum,Crassulaceae,I,,,
387000,sp,Sempervivum montanum L.,Sempervivum,montanum,Crassulaceae,I,,,
387050,subsp (single),Sempervivum montanum L. subsp. montanum,Sempervivum,montanum,Crassulaceae,I,,Sempervivum montanum L.,387000
387100,sp,Sempervivum tectorum L.,Sempervivum,tectorum,Crassulaceae,I,,,
387400,sp,Sempervivum wulfenii Mert. & W. D. J. Koch,Sempervivum,wulfenii,Crassulaceae,I,,,
387420,hybrid,Sempervivum ×fauconnetii Reut.,Sempervivum,×fauconnetii,Crassulaceae,,x,,
387500,sp,Senecio abrotanifolius L.,Senecio,abrotanifolius,Asteraceae,I,,,
387600,sp,Senecio alpinus (L.) Scop.,Senecio,alpinus,Asteraceae,I,,,
387700,sp,Senecio aquaticus Hill,Senecio,aquaticus,Asteraceae,I,,,
387800,sp,Senecio cacaliaster Lam.,Senecio,cacaliaster,Asteraceae,,x,,
388200,sp,Senecio doronicum (L.) L.,Senecio,doronicum,Asteraceae,I,,,
388250,subsp (single),Senecio doronicum (L.) L. subsp. doronicum,Senecio,doronicum,Asteraceae,I,,Senecio doronicum (L.) L.,388200
388300,sp,Senecio erraticus Bertol.,Senecio,erraticus,Asteraceae,I,,,
388400,sp,Senecio erucifolius L.,Senecio,erucifolius,Asteraceae,I,,,
388550,sp,Senecio gallicus Vill.,Senecio,gallicus,Asteraceae,N,,,
388630,sp,Senecio germanicus Wallr.,Senecio,germanicus,Asteraceae,,x,Senecio ovatus aggr.,389870
388680,subsp (single),Senecio germanicus subsp. glabratus Herborg,Senecio,germanicus,Asteraceae,,x,Senecio germanicus Wallr.,388630
388700,sp,Senecio halleri Dandy,Senecio,halleri,Asteraceae,I,,,
388900,sp,Senecio hercynicus Herborg,Senecio,hercynicus,Asteraceae,I,,Senecio ovatus aggr.,389870
389000,sp,Senecio inaequidens DC.,Senecio,inaequidens,Asteraceae,N,,,
389005,sp,Senecio incanus L.,Senecio,incanus,Asteraceae,I,,,
389100,subsp,Senecio incanus L. subsp. incanus,Senecio,incanus,Asteraceae,I,,Senecio incanus L.,389005
389200,subsp,Senecio incanus subsp. carniolicus (Willd.) Braun-Blanq.,Senecio,incanus,Asteraceae,I,,Senecio incanus L.,389005
389300,subsp,Senecio incanus subsp. insubricus (Chenevard) Braun-Blanq.,Senecio,incanus,Asteraceae,I,,Senecio incanus L.,389005
389600,sp,Senecio jacobaea L.,Senecio,jacobaea,Asteraceae,I,,,
389800,sp,Senecio ovatus (G. Gaertn. & al.) Willd.,Senecio,ovatus,Asteraceae,I,,Senecio ovatus aggr.,389870
389830,subsp,Senecio ovatus (G. Gaertn. & al.) Willd. subsp. ovatus,Senecio,ovatus,Asteraceae,I,,Senecio ovatus (G. Gaertn. & al.) Willd.,389800
389860,subsp,Senecio ovatus subsp. alpestris (Gaudin) Herborg,Senecio,ovatus,Asteraceae,I,,Senecio ovatus (G. Gaertn. & al.) Willd.,389800
389870,aggr,Senecio ovatus aggr.,Senecio,ovatus,Asteraceae,I,,,
389900,sp,Senecio paludosus L.,Senecio,paludosus,Asteraceae,I,,,
390000,sp,Senecio rupestris Waldst. & Kit.,Senecio,rupestris,Asteraceae,I,,,
390150,sp,Senecio subalpinus W. D. J. Koch,Senecio,subalpinus,Asteraceae,N,,,
390200,sp,Senecio sylvaticus L.,Senecio,sylvaticus,Asteraceae,I,,,
390350,sp,Senecio vernalis Waldst. & Kit.,Senecio,vernalis,Asteraceae,N,,,
390400,sp,Senecio viscosus L.,Senecio,viscosus,Asteraceae,I,,,
390500,sp,Senecio vulgaris L.,Senecio,vulgaris,Asteraceae,A,,,
390700,sp,Serapias vomeracea (Burm. f.) Briq.,Serapias,vomeracea,Orchidaceae,I,,,
390950,sp,Serratula tinctoria L.,Serratula,tinctoria,Asteraceae,I,,,
391000,subsp,Serratula tinctoria L. subsp. tinctoria,Serratula,tinctoria,Asteraceae,I,,Serratula tinctoria L.,390950
391150,subsp,Serratula tinctoria subsp. monticola (Boreau) Berher,Serratula,tinctoria,Asteraceae,I,,Serratula tinctoria L.,390950
391250,sp,Seseli annuum L.,Seseli,annuum,Apiaceae,I,,,
391300,subsp,Seseli annuum L. subsp. annuum,Seseli,annuum,Apiaceae,I,,Seseli annuum L.,391250
391400,subsp,Seseli annuum subsp. carvifolium (Vill.) P. Fourn.,Seseli,annuum,Apiaceae,,x,Seseli annuum L.,391250
391600,sp,Seseli hippomarathrum Jacq.,Seseli,hippomarathrum,Apiaceae,,x,,
391700,sp,Seseli libanotis (L.) W. D. J. Koch,Seseli,libanotis,Apiaceae,I,,,
391800,sp,Seseli montanum L.,Seseli,montanum,Apiaceae,I,,,
391900,sp,Seseli pallasii Besser,Seseli,pallasii,Apiaceae,N,,,
392200,sp,Sesleria caerulea (L.) Ard.,Sesleria,caerulea,Poaceae,I,,,
392400,sp,Sesleria ovata (Hoppe) A. Kern.,Sesleria,ovata,Poaceae,,x,,
392500,sp,Sesleria sphaerocephala Ard.,Sesleria,sphaerocephala,Poaceae,I,,,
392850,sp,Setaria faberi R. A. W. Herrm.,Setaria,faberi,Poaceae,NC,,,
393100,sp,Setaria italica (L.) P. Beauv.,Setaria,italica,Poaceae,AC,,,
393150,sp,Setaria parviflora (Poir.) Kerguélen,Setaria,parviflora,Poaceae,N,,,
393200,sp,Setaria pumila (Poir.) Roem. & Schult.,Setaria,pumila,Poaceae,A,,,
393300,sp,Setaria verticillata (L.) P. Beauv.,Setaria,verticillata,Poaceae,A,,,
393400,sp,Setaria verticilliformis Dumort.,Setaria,verticilliformis,Poaceae,A,,,
393500,sp,Setaria viridis (L.) P. Beauv.,Setaria,viridis,Poaceae,A,,,
393600,sp,Sherardia arvensis L.,Sherardia,arvensis,Rubiaceae,I,,,
393700,sp,Sibbaldia procumbens L.,Sibbaldia,procumbens,Rosaceae,I,,,
393750,sp,Sicyos angulatus L.,Sicyos,angulatus,Cucurbitaceae,N,,,
393800,sp,Sideritis hyssopifolia L.,Sideritis,hyssopifolia,Lamiaceae,I,,,
393900,sp,Sideritis montana L.,Sideritis,montana,Lamiaceae,A,,,
394200,sp,Silaum silaus (L.) Schinz & Thell.,Silaum,silaus,Apiaceae,I,,,
394300,sp,Silene acaulis (L.) Jacq.,Silene,acaulis,Caryophyllaceae,I,,,
394450,sp,Silene alpestris Jacq.,Silene,alpestris,Caryophyllaceae,N,,,
394500,sp,Silene armeria L.,Silene,armeria,Caryophyllaceae,I,,,
394600,sp,Silene conica L.,Silene,conica,Caryophyllaceae,N,,,
394700,sp,Silene coronaria (L.) Clairv.,Silene,coronaria,Caryophyllaceae,I,,,
394750,sp,Silene cretica L.,Silene,cretica,Caryophyllaceae,A,,,
394800,sp,Silene dichotoma Ehrh.,Silene,dichotoma,Caryophyllaceae,N,,,
394900,sp,Silene dioica (L.) Clairv.,Silene,dioica,Caryophyllaceae,I,,,
395000,sp,Silene elisabethae Jan,Silene,elisabethae,Caryophyllaceae,,x,,
395100,sp,Silene exscapa All.,Silene,exscapa,Caryophyllaceae,I,,,
395200,sp,Silene flos-cuculi (L.) Clairv.,Silene,flos-cuculi,Caryophyllaceae,I,,,
395300,sp,Silene flos-jovis (L.) Clairv.,Silene,flos-jovis,Caryophyllaceae,I,,,
395400,sp,Silene gallica L.,Silene,gallica,Caryophyllaceae,A,,,
395700,sp,Silene italica (L.) Pers.,Silene,italica,Caryophyllaceae,I,,,
395750,subsp (single),Silene italica (L.) Pers. subsp. italica,Silene,italica,Caryophyllaceae,I,,Silene italica (L.) Pers.,395700
395950,sp,Silene nemoralis Waldst. & Kit.,Silene,nemoralis,Caryophyllaceae,,x,,
396000,sp,Silene noctiflora L.,Silene,noctiflora,Caryophyllaceae,A,,,
396050,sp,Silene nutans L.,Silene,nutans,Caryophyllaceae,I,,,
396100,subsp,Silene nutans L. subsp. nutans,Silene,nutans,Caryophyllaceae,I,,Silene nutans L.,396050
396150,subsp,Silene nutans subsp. insubrica (Gaudin) Soldano,Silene,nutans,Caryophyllaceae,I,,Silene nutans L.,396050
396300,sp,Silene otites (L.) Wibel,Silene,otites,Caryophyllaceae,I,,,
396400,sp,Silene pratensis (Rafn) Godr.,Silene,pratensis,Caryophyllaceae,I,,,
396600,sp,Silene pusilla Waldst. & Kit.,Silene,pusilla,Caryophyllaceae,I,,,
396800,sp,Silene rupestris L.,Silene,rupestris,Caryophyllaceae,I,,,
396900,sp,Silene saxifraga L.,Silene,saxifraga,Caryophyllaceae,I,,,
397000,sp,Silene suecica (Lodd.) Greuter & Burdet,Silene,suecica,Caryophyllaceae,I,,,
397100,sp,Silene vallesia L.,Silene,vallesia,Caryophyllaceae,I,,,
397200,sp,Silene viscaria (L.) Borkh.,Silene,viscaria,Caryophyllaceae,I,,,
397295,sp,Silene vulgaris (Moench) Garcke,Silene,vulgaris,Caryophyllaceae,I,,,
397300,subsp,Silene vulgaris (Moench) Garcke subsp. vulgaris,Silene,vulgaris,Caryophyllaceae,I,,Silene vulgaris (Moench) Garcke,397295
397400,subsp,Silene vulgaris subsp. glareosa (Jord.) Marsden-Jones & Turrill,Silene,vulgaris,Caryophyllaceae,I,,Silene vulgaris (Moench) Garcke,397295
397600,subsp,Silene vulgaris subsp. prostrata (Gaudin) Schinz & Thell.,Silene,vulgaris,Caryophyllaceae,I,,Silene vulgaris (Moench) Garcke,397295
397750,sp,Silphium perfoliatum L.,Silphium,perfoliatum,Asteraceae,N,,,
397800,sp,Silybum marianum (L.) Gaertn.,Silybum,marianum,Asteraceae,AC,,,
397900,sp,Sinapis alba L.,Sinapis,alba,Brassicaceae,A,,,
397930,subsp (single),Sinapis alba L. subsp. alba,Sinapis,alba,Brassicaceae,A,,Sinapis alba L.,397900
398000,sp,Sinapis arvensis L.,Sinapis,arvensis,Brassicaceae,A,,,
398100,sp,Sison amomum L.,Sison,amomum,Apiaceae,I,,,
398150,sp,Sisymbrella aspera (L.) Spach,Sisymbrella,aspera,Brassicaceae,,x,,
398200,sp,Sisymbrium altissimum L.,Sisymbrium,altissimum,Brassicaceae,N,,,
398300,sp,Sisymbrium austriacum Jacq.,Sisymbrium,austriacum,Brassicaceae,I,,,
398400,sp,Sisymbrium irio L.,Sisymbrium,irio,Brassicaceae,N,,,
398500,sp,Sisymbrium loeselii L.,Sisymbrium,loeselii,Brassicaceae,N,,,
398600,sp,Sisymbrium officinale (L.) Scop.,Sisymbrium,officinale,Brassicaceae,A,,,
398700,sp,Sisymbrium orientale L.,Sisymbrium,orientale,Brassicaceae,N,,,
398800,sp,Sisymbrium strictissimum L.,Sisymbrium,strictissimum,Brassicaceae,I,,,
398900,sp,Sisymbrium supinum L.,Sisymbrium,supinum,Brassicaceae,I,,,
399200,sp,Sisyrinchium montanum Greene,Sisyrinchium,montanum,Iridaceae,N,,,
399300,sp,Sium latifolium L.,Sium,latifolium,Apiaceae,I,,,
399350,sp,Smyrnium perfoliatum L.,Smyrnium,perfoliatum,Apiaceae,N,,,
399430,sp,Solanum carolinense L.,Solanum,carolinense,Solanaceae,N,,,
399450,sp,Solanum chenopodioides Lam.,Solanum,chenopodioides,Solanaceae,N,,,
399500,sp,Solanum dulcamara L.,Solanum,dulcamara,Solanaceae,I,,,
400000,sp,Solanum melongena L.,Solanum,melongena,Solanaceae,NC,,,
400100,sp,Solanum nigrum L.,Solanum,nigrum,Solanaceae,I,,,
400130,subsp,Solanum nigrum L. subsp. nigrum,Solanum,nigrum,Solanaceae,I,,Solanum nigrum L.,400100
400160,subsp,Solanum nigrum subsp. schultesii (Opiz) Wessely,Solanum,nigrum,Solanaceae,N,,Solanum nigrum L.,400100
400230,sp,Solanum physalifolium Rusby,Solanum,physalifolium,Solanaceae,N,,,
400280,sp,Solanum rostratum Dunal,Solanum,rostratum,Solanaceae,N,,,
400400,sp,Solanum tuberosum L.,Solanum,tuberosum,Solanaceae,NC,,,
400450,sp,Solanum villosum Mill.,Solanum,villosum,Solanaceae,I,,,
400460,subsp,Solanum villosum Mill. subsp. villosum,Solanum,villosum,Solanaceae,I,,Solanum villosum Mill.,400450
400470,subsp,Solanum villosum subsp. miniatum (Willd.) Edmonds,Solanum,villosum,Solanaceae,I,,Solanum villosum Mill.,400450
400600,sp,Soldanella alpina L.,Soldanella,alpina,Primulaceae,I,,,
400700,sp,Soldanella minima Hoppe,Soldanella,minima,Primulaceae,,x,,
400800,sp,Soldanella pusilla Baumg.,Soldanella,pusilla,Primulaceae,I,,,
400830,subsp (single),Soldanella pusilla subsp. alpicola (F. K. Mey.) Chrtek,Soldanella,pusilla,Primulaceae,I,,Soldanella pusilla Baumg.,400800
400860,sp,Soleirolia soleirolii (Req.) Dandy,Soleirolia,soleirolii,Urticaceae,N,,,
401000,sp,Solidago canadensis L.,Solidago,canadensis,Asteraceae,N,,Solidago canadensis aggr.,401050
401050,aggr,Solidago canadensis aggr.,Solidago,canadensis,Asteraceae,N,,,
401100,sp,Solidago gigantea Aiton,Solidago,gigantea,Asteraceae,N,,Solidago canadensis aggr.,401050
401200,sp,Solidago graminifolia (L.) Salisb.,Solidago,graminifolia,Asteraceae,N,,,
401250,sp,Solidago rugosa Mill.,Solidago,rugosa,Asteraceae,N,,Solidago canadensis aggr.,401050
401395,sp,Solidago virgaurea L.,Solidago,virgaurea,Asteraceae,I,,,
401400,subsp,Solidago virgaurea L. subsp. virgaurea,Solidago,virgaurea,Asteraceae,I,,Solidago virgaurea L.,401395
401500,subsp,Solidago virgaurea subsp. minuta (L.) Arcang.,Solidago,virgaurea,Asteraceae,I,,Solidago virgaurea L.,401395
401595,sp,Sonchus arvensis L.,Sonchus,arvensis,Asteraceae,I,,,
401600,subsp,Sonchus arvensis L. subsp. arvensis,Sonchus,arvensis,Asteraceae,I,,Sonchus arvensis L.,401595
401700,subsp,Sonchus arvensis subsp. uliginosus (M. Bieb.) Nyman,Sonchus,arvensis,Asteraceae,I,,Sonchus arvensis L.,401595
